# JMH version: 1.34
# VM version: JDK 1.8.0_262, OpenJDK 64-Bit Server VM, 25.262-b10
# VM invoker: /usr/lib/jvm/java-1.8.0-openjdk-1.8.0.262.b10-0.el7_8.x86_64/jre/bin/java
# VM options: -Xms2g -Xmx8g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 16 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Deserialization.dsljson

# Run progress: 0.00% complete, ETA 00:13:20
# Fork: 1 of 2
# Warmup Iteration   1: 3931.933 ops/s
# Warmup Iteration   2: 4338.558 ops/s
# Warmup Iteration   3: 4253.589 ops/s
# Warmup Iteration   4: 4236.654 ops/s
# Warmup Iteration   5: 4199.372 ops/s
Iteration   1: 4258.567 ops/s
Iteration   2: 4282.936 ops/s
Iteration   3: 4234.635 ops/s
Iteration   4: 4172.057 ops/s
Iteration   5: 4258.504 ops/s
Iteration   6: 4193.851 ops/s
Iteration   7: 4103.592 ops/s
Iteration   8: 4247.103 ops/s
Iteration   9: 4156.707 ops/s
Iteration  10: 4110.849 ops/s

# Run progress: 10.00% complete, ETA 00:12:11
# Fork: 2 of 2
# Warmup Iteration   1: 3957.734 ops/s
# Warmup Iteration   2: 4332.340 ops/s
# Warmup Iteration   3: 4262.287 ops/s
# Warmup Iteration   4: 4353.784 ops/s
# Warmup Iteration   5: 4192.509 ops/s
Iteration   1: 4314.448 ops/s
Iteration   2: 4438.245 ops/s
Iteration   3: 4105.906 ops/s
Iteration   4: 4355.005 ops/s
Iteration   5: 4153.200 ops/s
Iteration   6: 4229.993 ops/s
Iteration   7: 4323.811 ops/s
Iteration   8: 4242.407 ops/s
Iteration   9: 4150.584 ops/s
Iteration  10: 4280.800 ops/s


Result "com.meylism.databind.Deserialization.dsljson":
  4230.660 ?(99.9%) 77.210 ops/s [Average]
  (min, avg, max) = (4103.592, 4230.660, 4438.245), stdev = 88.915
  CI (99.9%): [4153.450, 4307.870] (assumes normal distribution)


# JMH version: 1.34
# VM version: JDK 1.8.0_262, OpenJDK 64-Bit Server VM, 25.262-b10
# VM invoker: /usr/lib/jvm/java-1.8.0-openjdk-1.8.0.262.b10-0.el7_8.x86_64/jre/bin/java
# VM options: -Xms2g -Xmx8g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 16 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Deserialization.dsljson_reflection

# Run progress: 20.00% complete, ETA 00:10:49
# Fork: 1 of 2
# Warmup Iteration   1: 4041.820 ops/s
# Warmup Iteration   2: 4372.886 ops/s
# Warmup Iteration   3: 4331.188 ops/s
# Warmup Iteration   4: 4366.029 ops/s
# Warmup Iteration   5: 4186.353 ops/s
Iteration   1: 4230.670 ops/s
Iteration   2: 4283.200 ops/s
Iteration   3: 4282.130 ops/s
Iteration   4: 4340.681 ops/s
Iteration   5: 4264.474 ops/s
Iteration   6: 4324.727 ops/s
Iteration   7: 4336.478 ops/s
Iteration   8: 4250.937 ops/s
Iteration   9: 4295.857 ops/s
Iteration  10: 4239.468 ops/s

# Run progress: 30.00% complete, ETA 00:09:28
# Fork: 2 of 2
# Warmup Iteration   1: 4004.840 ops/s
# Warmup Iteration   2: 4296.336 ops/s
# Warmup Iteration   3: 4282.919 ops/s
# Warmup Iteration   4: 4282.505 ops/s
# Warmup Iteration   5: 4293.744 ops/s
Iteration   1: 4276.248 ops/s
Iteration   2: 4312.884 ops/s
Iteration   3: 4278.215 ops/s
Iteration   4: 4292.567 ops/s
Iteration   5: 4192.514 ops/s
Iteration   6: 4333.337 ops/s
Iteration   7: 4410.003 ops/s
Iteration   8: 4427.046 ops/s
Iteration   9: 4279.542 ops/s
Iteration  10: 4291.106 ops/s


Result "com.meylism.databind.Deserialization.dsljson_reflection":
  4297.104 ?(99.9%) 48.328 ops/s [Average]
  (min, avg, max) = (4192.514, 4297.104, 4427.046), stdev = 55.655
  CI (99.9%): [4248.776, 4345.432] (assumes normal distribution)


# JMH version: 1.34
# VM version: JDK 1.8.0_262, OpenJDK 64-Bit Server VM, 25.262-b10
# VM invoker: /usr/lib/jvm/java-1.8.0-openjdk-1.8.0.262.b10-0.el7_8.x86_64/jre/bin/java
# VM options: -Xms2g -Xmx8g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 16 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Deserialization.gson

# Run progress: 40.00% complete, ETA 00:08:07
# Fork: 1 of 2
# Warmup Iteration   1: 1601.694 ops/s
# Warmup Iteration   2: 1712.540 ops/s
# Warmup Iteration   3: 1704.156 ops/s
# Warmup Iteration   4: 1702.465 ops/s
# Warmup Iteration   5: 1709.781 ops/s
Iteration   1: 1719.659 ops/s
Iteration   2: 1735.050 ops/s
