# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Serialization.dsljson

# Run progress: 0.00% complete, ETA 00:25:00
# Fork: 1 of 2
# Warmup Iteration   1: 10233.074 ops/s
# Warmup Iteration   2: 10280.913 ops/s
# Warmup Iteration   3: 10326.916 ops/s
# Warmup Iteration   4: 10312.998 ops/s
# Warmup Iteration   5: 10336.411 ops/s
# Warmup Iteration   6: 10308.788 ops/s
# Warmup Iteration   7: 10308.471 ops/s
# Warmup Iteration   8: 10313.938 ops/s
Iteration   1: 10287.778 ops/s
Iteration   2: 10297.516 ops/s
Iteration   3: 10295.381 ops/s
Iteration   4: 10310.616 ops/s
Iteration   5: 10300.359 ops/s
Iteration   6: 10298.813 ops/s
Iteration   7: 10303.724 ops/s
Iteration   8: 10301.662 ops/s
Iteration   9: 10279.021 ops/s
Iteration  10: 10259.199 ops/s

# Run progress: 10.00% complete, ETA 00:22:38
# Fork: 2 of 2
# Warmup Iteration   1: 10339.507 ops/s
# Warmup Iteration   2: 10194.431 ops/s
# Warmup Iteration   3: 10425.959 ops/s
# Warmup Iteration   4: 10424.692 ops/s
# Warmup Iteration   5: 10432.175 ops/s
# Warmup Iteration   6: 10444.202 ops/s
# Warmup Iteration   7: 10435.617 ops/s
# Warmup Iteration   8: 10441.398 ops/s
Iteration   1: 10421.668 ops/s
Iteration   2: 10421.249 ops/s
Iteration   3: 10431.065 ops/s
Iteration   4: 10432.125 ops/s
Iteration   5: 10431.679 ops/s
Iteration   6: 10431.304 ops/s
Iteration   7: 10427.317 ops/s
Iteration   8: 10428.897 ops/s
Iteration   9: 10412.574 ops/s
Iteration  10: 10420.186 ops/s


Result "com.meylism.databind.Serialization.dsljson":
  10359.607 ±(99.9%) 59.769 ops/s [Average]
  (min, avg, max) = (10259.199, 10359.607, 10432.125), stdev = 68.830
  CI (99.9%): [10299.837, 10419.376] (assumes normal distribution)


# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Serialization.dsljson_reflection

# Run progress: 20.00% complete, ETA 00:20:06
# Fork: 1 of 2
# Warmup Iteration   1: 10986.359 ops/s
# Warmup Iteration   2: 11034.447 ops/s
# Warmup Iteration   3: 11066.893 ops/s
# Warmup Iteration   4: 11067.282 ops/s
# Warmup Iteration   5: 11064.018 ops/s
# Warmup Iteration   6: 11068.202 ops/s
# Warmup Iteration   7: 11066.337 ops/s
# Warmup Iteration   8: 11070.509 ops/s
Iteration   1: 11052.777 ops/s
Iteration   2: 11045.218 ops/s
Iteration   3: 11045.872 ops/s
Iteration   4: 11054.743 ops/s
Iteration   5: 11060.066 ops/s
Iteration   6: 11057.640 ops/s
Iteration   7: 11058.983 ops/s
Iteration   8: 11045.731 ops/s
Iteration   9: 11055.602 ops/s
Iteration  10: 11056.253 ops/s

# Run progress: 30.00% complete, ETA 00:17:36
# Fork: 2 of 2
# Warmup Iteration   1: 10973.913 ops/s
# Warmup Iteration   2: 11011.373 ops/s
# Warmup Iteration   3: 11056.452 ops/s
# Warmup Iteration   4: 11054.107 ops/s
# Warmup Iteration   5: 11057.532 ops/s
# Warmup Iteration   6: 11060.803 ops/s
# Warmup Iteration   7: 11059.490 ops/s
# Warmup Iteration   8: 11057.979 ops/s
Iteration   1: 11036.364 ops/s
