# JMH version: 1.34
# VM version: JDK 17.0.2, OpenJDK 64-Bit Server VM, 17.0.2+8-86
# VM invoker: /root/jdk-17.0.2/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Serialization.dsljson

# Run progress: 0.00% complete, ETA 00:09:10
# Fork: 1 of 2
# Warmup Iteration   1: 113.658 ops/s
# Warmup Iteration   2: 111.735 ops/s
# Warmup Iteration   3: 110.002 ops/s
# Warmup Iteration   4: 111.151 ops/s
# Warmup Iteration   5: 112.182 ops/s
Iteration   1: 113.697 ops/s
Iteration   2: 112.424 ops/s
Iteration   3: 106.671 ops/s
Iteration   4: 110.160 ops/s
Iteration   5: 105.783 ops/s
Iteration   6: 112.292 ops/s
Iteration   7: 113.521 ops/s
Iteration   8: 111.333 ops/s
Iteration   9: 114.145 ops/s
Iteration  10: 114.397 ops/s

# Run progress: 10.00% complete, ETA 00:08:30
# Fork: 2 of 2
# Warmup Iteration   1: 106.762 ops/s
# Warmup Iteration   2: 107.858 ops/s
# Warmup Iteration   3: 107.994 ops/s
# Warmup Iteration   4: 107.264 ops/s
# Warmup Iteration   5: 107.466 ops/s
Iteration   1: 108.484 ops/s
Iteration   2: 108.567 ops/s
Iteration   3: 108.234 ops/s
Iteration   4: 106.594 ops/s
Iteration   5: 103.923 ops/s
Iteration   6: 103.606 ops/s
Iteration   7: 107.917 ops/s
Iteration   8: 107.695 ops/s
Iteration   9: 104.595 ops/s
Iteration  10: 108.407 ops/s


Result "com.meylism.databind.Serialization.dsljson":
  109.122 ?(99.9%) 3.003 ops/s [Average]
  (min, avg, max) = (103.606, 109.122, 114.397), stdev = 3.458
  CI (99.9%): [106.119, 112.125] (assumes normal distribution)


# JMH version: 1.34
# VM version: JDK 17.0.2, OpenJDK 64-Bit Server VM, 17.0.2+8-86
# VM invoker: /root/jdk-17.0.2/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Serialization.dsljson_reflection

# Run progress: 20.00% complete, ETA 00:07:34
# Fork: 1 of 2
# Warmup Iteration   1: 102.079 ops/s
# Warmup Iteration   2: 103.164 ops/s
# Warmup Iteration   3: 106.649 ops/s
# Warmup Iteration   4: 105.778 ops/s
# Warmup Iteration   5: 106.425 ops/s
Iteration   1: 105.683 ops/s
Iteration   2: 106.912 ops/s
Iteration   3: 106.912 ops/s
Iteration   4: 106.677 ops/s
Iteration   5: 106.242 ops/s
Iteration   6: 106.547 ops/s
Iteration   7: 105.970 ops/s
Iteration   8: 106.871 ops/s
Iteration   9: 106.485 ops/s
Iteration  10: 104.919 ops/s

# Run progress: 30.00% complete, ETA 00:06:37
# Fork: 2 of 2
# Warmup Iteration   1: 85.509 ops/s
# Warmup Iteration   2: 86.199 ops/s
# Warmup Iteration   3: 85.603 ops/s
# Warmup Iteration   4: 86.548 ops/s
# Warmup Iteration   5: 86.357 ops/s
Iteration   1: 85.743 ops/s
Iteration   2: 85.386 ops/s
Iteration   3: 87.282 ops/s
Iteration   4: 87.252 ops/s
