# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Serialization.dsljson

# Run progress: 0.00% complete, ETA 00:25:00
# Fork: 1 of 2
# Warmup Iteration   1: 1627.045 ops/s
# Warmup Iteration   2: 1642.850 ops/s
# Warmup Iteration   3: 1645.528 ops/s
# Warmup Iteration   4: 1646.999 ops/s
# Warmup Iteration   5: 1646.829 ops/s
# Warmup Iteration   6: 1645.821 ops/s
# Warmup Iteration   7: 1646.286 ops/s
# Warmup Iteration   8: 1644.557 ops/s
Iteration   1: 1641.289 ops/s
Iteration   2: 1645.068 ops/s
Iteration   3: 1642.696 ops/s
Iteration   4: 1641.458 ops/s
Iteration   5: 1642.433 ops/s
Iteration   6: 1641.281 ops/s
Iteration   7: 1643.486 ops/s
Iteration   8: 1642.501 ops/s
Iteration   9: 1640.816 ops/s
Iteration  10: 1640.917 ops/s

# Run progress: 10.00% complete, ETA 00:22:39
# Fork: 2 of 2
# Warmup Iteration   1: 1605.447 ops/s
# Warmup Iteration   2: 1621.271 ops/s
# Warmup Iteration   3: 1621.639 ops/s
# Warmup Iteration   4: 1621.294 ops/s
# Warmup Iteration   5: 1622.882 ops/s
# Warmup Iteration   6: 1624.060 ops/s
# Warmup Iteration   7: 1625.535 ops/s
# Warmup Iteration   8: 1622.218 ops/s
Iteration   1: 1619.059 ops/s
Iteration   2: 1622.719 ops/s
Iteration   3: 1621.402 ops/s
Iteration   4: 1620.119 ops/s
Iteration   5: 1621.900 ops/s
Iteration   6: 1619.896 ops/s
Iteration   7: 1622.605 ops/s
Iteration   8: 1622.933 ops/s
Iteration   9: 1620.874 ops/s
