# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Deserialization.dsljson

# Run progress: 0.00% complete, ETA 00:25:00
# Fork: 1 of 2
# Warmup Iteration   1: 328755.487 ops/s
# Warmup Iteration   2: 321545.584 ops/s
# Warmup Iteration   3: 323462.235 ops/s
# Warmup Iteration   4: 321235.607 ops/s
# Warmup Iteration   5: 320491.717 ops/s
# Warmup Iteration   6: 321385.860 ops/s
# Warmup Iteration   7: 322482.043 ops/s
# Warmup Iteration   8: 322704.875 ops/s
Iteration   1: 319441.472 ops/s
Iteration   2: 324529.483 ops/s
Iteration   3: 322331.514 ops/s
Iteration   4: 326929.987 ops/s
Iteration   5: 318917.057 ops/s
Iteration   6: 324035.358 ops/s
Iteration   7: 320004.808 ops/s
Iteration   8: 321736.095 ops/s
Iteration   9: 321589.614 ops/s
Iteration  10: 320566.531 ops/s

# Run progress: 10.00% complete, ETA 00:22:38
# Fork: 2 of 2
# Warmup Iteration   1: 450751.394 ops/s
# Warmup Iteration   2: 466132.662 ops/s
# Warmup Iteration   3: 468123.953 ops/s
# Warmup Iteration   4: 468474.719 ops/s
# Warmup Iteration   5: 468254.039 ops/s
# Warmup Iteration   6: 467839.309 ops/s
# Warmup Iteration   7: 468615.325 ops/s
# Warmup Iteration   8: 468330.611 ops/s
Iteration   1: 467270.374 ops/s
Iteration   2: 468253.583 ops/s
Iteration   3: 467694.430 ops/s
Iteration   4: 467891.968 ops/s
Iteration   5: 467357.386 ops/s
Iteration   6: 467986.391 ops/s
Iteration   7: 466911.896 ops/s
Iteration   8: 467953.711 ops/s
Iteration   9: 467919.428 ops/s
Iteration  10: 466994.027 ops/s


Result "com.meylism.databind.Deserialization.dsljson":
  394815.756 ±(99.9%) 64883.409 ops/s [Average]
  (min, avg, max) = (318917.057, 394815.756, 468253.583), stdev = 74719.830
  CI (99.9%): [329932.347, 459699.164] (assumes normal distribution)


# JMH version: 1.34
