# JMH version: 1.34
# VM version: JDK 17.0.2, OpenJDK 64-Bit Server VM, 17.0.2+8-86
# VM invoker: /root/jdk-17.0.2/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Deserialization.dsljson

# Run progress: 0.00% complete, ETA 00:09:10
# Fork: 1 of 2
# Warmup Iteration   1: 19.844 ops/s
# Warmup Iteration   2: 21.000 ops/s
# Warmup Iteration   3: 21.734 ops/s
# Warmup Iteration   4: 20.802 ops/s
# Warmup Iteration   5: 21.471 ops/s
Iteration   1: 21.730 ops/s
Iteration   2: 21.284 ops/s
Iteration   3: 20.872 ops/s
Iteration   4: 20.587 ops/s
Iteration   5: 21.595 ops/s
Iteration   6: 21.798 ops/s
Iteration   7: 24.298 ops/s
Iteration   8: 22.672 ops/s
Iteration   9: 21.657 ops/s
Iteration  10: 21.857 ops/s

# Run progress: 10.00% complete, ETA 00:09:13
# Fork: 2 of 2
# Warmup Iteration   1: 21.013 ops/s
# Warmup Iteration   2: 20.719 ops/s
# Warmup Iteration   3: 21.180 ops/s
# Warmup Iteration   4: 21.241 ops/s
# Warmup Iteration   5: 21.373 ops/s
Iteration   1: 20.507 ops/s
Iteration   2: 20.365 ops/s
Iteration   3: 20.645 ops/s
Iteration   4: 21.095 ops/s
Iteration   5: 20.938 ops/s
Iteration   6: 21.466 ops/s
Iteration   7: 20.408 ops/s
Iteration   8: 21.663 ops/s
Iteration   9: 21.176 ops/s
Iteration  10: 21.553 ops/s


Result "com.meylism.databind.Deserialization.dsljson":
  21.408 ?(99.9%) 0.782 ops/s [Average]
  (min, avg, max) = (20.365, 21.408, 24.298), stdev = 0.901
  CI (99.9%): [20.626, 22.191] (assumes normal distribution)


# JMH version: 1.34
# VM version: JDK 17.0.2, OpenJDK 64-Bit Server VM, 17.0.2+8-86
# VM invoker: /root/jdk-17.0.2/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Deserialization.dsljson_reflection

# Run progress: 20.00% complete, ETA 00:08:12
# Fork: 1 of 2
