# JMH version: 1.34
# VM version: JDK 17.0.2, OpenJDK 64-Bit Server VM, 17.0.2+8-86
# VM invoker: /root/jdk-17.0.2/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Serialization.dsljson

# Run progress: 0.00% complete, ETA 00:09:10
# Fork: 1 of 2
# Warmup Iteration   1: 58128.150 ops/s
# Warmup Iteration   2: 60483.656 ops/s
# Warmup Iteration   3: 61333.829 ops/s
# Warmup Iteration   4: 62122.398 ops/s
# Warmup Iteration   5: 62021.303 ops/s
Iteration   1: 62043.459 ops/s
Iteration   2: 62604.994 ops/s
Iteration   3: 62327.597 ops/s
Iteration   4: 61650.817 ops/s
Iteration   5: 61754.242 ops/s
Iteration   6: 62717.623 ops/s
Iteration   7: 62030.858 ops/s
Iteration   8: 61986.252 ops/s
Iteration   9: 62426.869 ops/s
Iteration  10: 62526.987 ops/s

# Run progress: 10.00% complete, ETA 00:08:22
# Fork: 2 of 2
# Warmup Iteration   1: 57678.500 ops/s
# Warmup Iteration   2: 62605.451 ops/s
# Warmup Iteration   3: 63137.529 ops/s
# Warmup Iteration   4: 63205.887 ops/s
# Warmup Iteration   5: 62779.931 ops/s
Iteration   1: 61870.294 ops/s
Iteration   2: 60500.195 ops/s
Iteration   3: 60145.909 ops/s
Iteration   4: 61921.439 ops/s
Iteration   5: 62826.719 ops/s
Iteration   6: 61708.003 ops/s
Iteration   7: 63137.270 ops/s
Iteration   8: 62096.223 ops/s
Iteration   9: 63040.935 ops/s
Iteration  10: 62802.952 ops/s


Result "com.meylism.databind.Serialization.dsljson":
  62105.982 ?(99.9%) 658.273 ops/s [Average]
  (min, avg, max) = (60145.909, 62105.982, 63137.270), stdev = 758.068
  CI (99.9%): [61447.709, 62764.255] (assumes normal distribution)


# JMH version: 1.34
# VM version: JDK 17.0.2, OpenJDK 64-Bit Server VM, 17.0.2+8-86
# VM invoker: /root/jdk-17.0.2/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 5 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Serialization.dsljson_reflection

# Run progress: 20.00% complete, ETA 00:07:26
# Fork: 1 of 2
# Warmup Iteration   1: 56695.876 ops/s
# Warmup Iteration   2: 59646.461 ops/s
# Warmup Iteration   3: 59662.316 ops/s
# Warmup Iteration   4: 60372.087 ops/s
# Warmup Iteration   5: 60328.696 ops/s
Iteration   1: 60744.597 ops/s
Iteration   2: 59681.159 ops/s
Iteration   3: 60808.441 ops/s
Iteration   4: 60200.091 ops/s
Iteration   5: 59609.853 ops/s
Iteration   6: 60655.025 ops/s
Iteration   7: 61094.886 ops/s
Iteration   8: 59491.063 ops/s
Iteration   9: 61000.501 ops/s
Iteration  10: 60719.642 ops/s

# Run progress: 30.00% complete, ETA 00:06:30
# Fork: 2 of 2
