# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Serialization.dsljson

# Run progress: 0.00% complete, ETA 00:25:00
# Fork: 1 of 2
# Warmup Iteration   1: 5.561 ops/s
# Warmup Iteration   2: 5.630 ops/s
# Warmup Iteration   3: 5.637 ops/s
# Warmup Iteration   4: 5.654 ops/s
# Warmup Iteration   5: 5.654 ops/s
# Warmup Iteration   6: 5.640 ops/s
# Warmup Iteration   7: 5.640 ops/s
# Warmup Iteration   8: 5.646 ops/s
Iteration   1: 5.640 ops/s
Iteration   2: 5.630 ops/s
Iteration   3: 5.646 ops/s
Iteration   4: 5.628 ops/s
Iteration   5: 5.666 ops/s
Iteration   6: 5.624 ops/s
Iteration   7: 5.645 ops/s
Iteration   8: 5.654 ops/s
Iteration   9: 5.624 ops/s
Iteration  10: 5.629 ops/s

# Run progress: 10.00% complete, ETA 00:26:20
# Fork: 2 of 2
# Warmup Iteration   1: 5.603 ops/s
# Warmup Iteration   2: 5.710 ops/s
# Warmup Iteration   3: 5.708 ops/s
# Warmup Iteration   4: 5.702 ops/s
# Warmup Iteration   5: 5.707 ops/s
# Warmup Iteration   6: 5.704 ops/s
# Warmup Iteration   7: 5.709 ops/s
# Warmup Iteration   8: 5.688 ops/s
Iteration   1: 5.691 ops/s
Iteration   2: 5.707 ops/s
Iteration   3: 5.695 ops/s
Iteration   4: 5.685 ops/s
Iteration   5: 5.692 ops/s
Iteration   6: 5.699 ops/s
Iteration   7: 5.691 ops/s
Iteration   8: 5.695 ops/s
Iteration   9: 5.697 ops/s
Iteration  10: 5.705 ops/s


Result "com.meylism.databind.Serialization.dsljson":
  5.667 ±(99.9%) 0.027 ops/s [Average]
  (min, avg, max) = (5.624, 5.667, 5.707), stdev = 0.031
  CI (99.9%): [5.640, 5.694] (assumes normal distribution)


# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Serialization.dsljson_reflection

# Run progress: 20.00% complete, ETA 00:23:15
# Fork: 1 of 2
# Warmup Iteration   1: 5.685 ops/s
# Warmup Iteration   2: 5.785 ops/s
# Warmup Iteration   3: 5.789 ops/s
# Warmup Iteration   4: 5.793 ops/s
# Warmup Iteration   5: 5.794 ops/s
# Warmup Iteration   6: 5.788 ops/s
# Warmup Iteration   7: 5.792 ops/s
# Warmup Iteration   8: 5.793 ops/s
Iteration   1: 5.787 ops/s
Iteration   2: 5.793 ops/s
Iteration   3: 5.799 ops/s
Iteration   4: 5.782 ops/s
Iteration   5: 5.756 ops/s
Iteration   6: 5.778 ops/s
Iteration   7: 5.797 ops/s
Iteration   8: 5.794 ops/s
Iteration   9: 5.799 ops/s
Iteration  10: 5.782 ops/s

# Run progress: 30.00% complete, ETA 00:20:14
# Fork: 2 of 2
# Warmup Iteration   1: 5.317 ops/s
# Warmup Iteration   2: 5.286 ops/s
# Warmup Iteration   3: 5.279 ops/s
# Warmup Iteration   4: 5.281 ops/s
# Warmup Iteration   5: 5.283 ops/s
# Warmup Iteration   6: 5.282 ops/s
# Warmup Iteration   7: 5.279 ops/s
# Warmup Iteration   8: 5.283 ops/s
Iteration   1: 5.288 ops/s
Iteration   2: 5.267 ops/s
Iteration   3: 5.296 ops/s
Iteration   4: 5.254 ops/s
Iteration   5: 5.286 ops/s
Iteration   6: 5.246 ops/s
Iteration   7: 5.288 ops/s
Iteration   8: 5.286 ops/s
Iteration   9: 5.278 ops/s
Iteration  10: 5.270 ops/s


Result "com.meylism.databind.Serialization.dsljson_reflection":
  5.531 ±(99.9%) 0.228 ops/s [Average]
  (min, avg, max) = (5.246, 5.531, 5.799), stdev = 0.262
  CI (99.9%): [5.303, 5.759] (assumes normal distribution)


# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Serialization.gson

# Run progress: 40.00% complete, ETA 00:17:13
# Fork: 1 of 2
# Warmup Iteration   1: 5.077 ops/s
# Warmup Iteration   2: 5.083 ops/s
# Warmup Iteration   3: 5.087 ops/s
# Warmup Iteration   4: 5.106 ops/s
# Warmup Iteration   5: 5.106 ops/s
# Warmup Iteration   6: 5.110 ops/s
# Warmup Iteration   7: 5.119 ops/s
# Warmup Iteration   8: 5.120 ops/s
Iteration   1: 5.131 ops/s
Iteration   2: 5.134 ops/s
Iteration   3: 5.132 ops/s
Iteration   4: 5.100 ops/s
Iteration   5: 5.096 ops/s
Iteration   6: 5.130 ops/s
Iteration   7: 5.120 ops/s
Iteration   8: 5.123 ops/s
Iteration   9: 5.108 ops/s
Iteration  10: 5.130 ops/s

# Run progress: 50.00% complete, ETA 00:14:21
# Fork: 2 of 2
# Warmup Iteration   1: 5.065 ops/s
# Warmup Iteration   2: 5.102 ops/s
# Warmup Iteration   3: 5.119 ops/s
