# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Deserialization.dsljson

# Run progress: 0.00% complete, ETA 00:25:00
# Fork: 1 of 2
# Warmup Iteration   1: 5202.758 ops/s
# Warmup Iteration   2: 5382.474 ops/s
# Warmup Iteration   3: 5383.313 ops/s
# Warmup Iteration   4: 5381.557 ops/s
# Warmup Iteration   5: 5385.460 ops/s
# Warmup Iteration   6: 5382.745 ops/s
# Warmup Iteration   7: 5387.887 ops/s
# Warmup Iteration   8: 5388.342 ops/s
Iteration   1: 5379.522 ops/s
Iteration   2: 5386.215 ops/s
Iteration   3: 5382.655 ops/s
Iteration   4: 5387.035 ops/s
Iteration   5: 5377.812 ops/s
Iteration   6: 5377.894 ops/s
Iteration   7: 5379.855 ops/s
Iteration   8: 5365.696 ops/s
Iteration   9: 5369.816 ops/s
Iteration  10: 5363.606 ops/s

# Run progress: 10.00% complete, ETA 00:22:38
# Fork: 2 of 2
# Warmup Iteration   1: 3497.926 ops/s
# Warmup Iteration   2: 3297.457 ops/s
# Warmup Iteration   3: 3237.222 ops/s
# Warmup Iteration   4: 3366.136 ops/s
# Warmup Iteration   5: 3380.284 ops/s
# Warmup Iteration   6: 3277.330 ops/s
# Warmup Iteration   7: 3390.133 ops/s
# Warmup Iteration   8: 3436.638 ops/s
Iteration   1: 3533.433 ops/s
Iteration   2: 3354.424 ops/s
Iteration   3: 3326.489 ops/s
Iteration   4: 3312.047 ops/s
Iteration   5: 3217.813 ops/s
Iteration   6: 3299.534 ops/s
Iteration   7: 3273.185 ops/s
Iteration   8: 3152.598 ops/s
Iteration   9: 3382.291 ops/s
Iteration  10: 3372.720 ops/s


Result "com.meylism.databind.Deserialization.dsljson":
  4349.732 ±(99.9%) 917.277 ops/s [Average]
  (min, avg, max) = (3152.598, 4349.732, 5387.035), stdev = 1056.338
  CI (99.9%): [3432.455, 5267.009] (assumes normal distribution)


# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Deserialization.dsljson_reflection

# Run progress: 20.00% complete, ETA 00:20:07
# Fork: 1 of 2
# Warmup Iteration   1: 4834.445 ops/s
# Warmup Iteration   2: 5138.803 ops/s
# Warmup Iteration   3: 5152.998 ops/s
# Warmup Iteration   4: 5146.618 ops/s
# Warmup Iteration   5: 5149.857 ops/s
# Warmup Iteration   6: 5146.050 ops/s
# Warmup Iteration   7: 5147.319 ops/s
# Warmup Iteration   8: 5151.019 ops/s
Iteration   1: 5130.805 ops/s
Iteration   2: 5129.338 ops/s
Iteration   3: 5151.330 ops/s
Iteration   4: 5133.769 ops/s
