# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Serialization.dsljson

# Run progress: 0.00% complete, ETA 00:25:00
# Fork: 1 of 2
# Warmup Iteration   1: 10039.437 ops/s
# Warmup Iteration   2: 10105.447 ops/s
# Warmup Iteration   3: 10087.712 ops/s
# Warmup Iteration   4: 10097.635 ops/s
# Warmup Iteration   5: 10115.068 ops/s
# Warmup Iteration   6: 10119.291 ops/s
# Warmup Iteration   7: 10086.998 ops/s
# Warmup Iteration   8: 10084.956 ops/s
Iteration   1: 10083.374 ops/s
Iteration   2: 10085.126 ops/s
Iteration   3: 10076.146 ops/s
Iteration   4: 10074.287 ops/s
Iteration   5: 10074.052 ops/s
Iteration   6: 10078.440 ops/s
Iteration   7: 10037.891 ops/s
Iteration   8: 10069.359 ops/s
Iteration   9: 9993.349 ops/s
Iteration  10: 10043.212 ops/s

# Run progress: 10.00% complete, ETA 00:22:38
# Fork: 2 of 2
# Warmup Iteration   1: 9680.139 ops/s
# Warmup Iteration   2: 9781.120 ops/s
# Warmup Iteration   3: 9755.081 ops/s
# Warmup Iteration   4: 9755.635 ops/s
# Warmup Iteration   5: 9767.625 ops/s
# Warmup Iteration   6: 9747.548 ops/s
# Warmup Iteration   7: 9757.354 ops/s
# Warmup Iteration   8: 9755.039 ops/s
Iteration   1: 9740.355 ops/s
Iteration   2: 9733.090 ops/s
Iteration   3: 9722.264 ops/s
Iteration   4: 9746.292 ops/s
Iteration   5: 9730.408 ops/s
Iteration   6: 9747.242 ops/s
Iteration   7: 9748.464 ops/s
Iteration   8: 9768.046 ops/s
Iteration   9: 9751.528 ops/s
Iteration  10: 9754.095 ops/s


Result "com.meylism.databind.Serialization.dsljson":
  9902.851 ±(99.9%) 142.624 ops/s [Average]
  (min, avg, max) = (9722.264, 9902.851, 10085.126), stdev = 164.246
  CI (99.9%): [9760.227, 10045.475] (assumes normal distribution)


# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Serialization.dsljson_reflection

# Run progress: 20.00% complete, ETA 00:20:07
# Fork: 1 of 2
# Warmup Iteration   1: 9719.065 ops/s
# Warmup Iteration   2: 9778.506 ops/s
# Warmup Iteration   3: 9704.805 ops/s
# Warmup Iteration   4: 9711.330 ops/s
# Warmup Iteration   5: 9713.436 ops/s
# Warmup Iteration   6: 9715.488 ops/s
# Warmup Iteration   7: 9711.922 ops/s
# Warmup Iteration   8: 9712.075 ops/s
Iteration   1: 9702.073 ops/s
Iteration   2: 9699.625 ops/s
Iteration   3: 9719.791 ops/s
Iteration   4: 9699.497 ops/s
Iteration   5: 9683.846 ops/s
Iteration   6: 9709.067 ops/s
Iteration   7: 9704.314 ops/s
Iteration   8: 9699.729 ops/s
Iteration   9: 9710.110 ops/s
Iteration  10: 9701.254 ops/s

# Run progress: 30.00% complete, ETA 00:17:36
# Fork: 2 of 2
# Warmup Iteration   1: 9761.741 ops/s
# Warmup Iteration   2: 9831.253 ops/s
# Warmup Iteration   3: 9804.767 ops/s
# Warmup Iteration   4: 10013.041 ops/s
# Warmup Iteration   5: 9806.636 ops/s
# Warmup Iteration   6: 9809.484 ops/s
# Warmup Iteration   7: 9759.453 ops/s
# Warmup Iteration   8: 9774.036 ops/s
Iteration   1: 9779.758 ops/s
Iteration   2: 9793.622 ops/s
Iteration   3: 9776.259 ops/s
Iteration   4: 9795.511 ops/s
Iteration   5: 9781.461 ops/s
Iteration   6: 9771.356 ops/s
Iteration   7: 9771.539 ops/s
Iteration   8: 9785.709 ops/s
Iteration   9: 9799.245 ops/s
Iteration  10: 9795.933 ops/s


Result "com.meylism.databind.Serialization.dsljson_reflection":
  9743.985 ±(99.9%) 37.523 ops/s [Average]
  (min, avg, max) = (9683.846, 9743.985, 9799.245), stdev = 43.211
  CI (99.9%): [9706.462, 9781.508] (assumes normal distribution)


# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Serialization.gson

# Run progress: 40.00% complete, ETA 00:15:05
# Fork: 1 of 2
# Warmup Iteration   1: 2306.653 ops/s
# Warmup Iteration   2: 2381.055 ops/s
# Warmup Iteration   3: 2373.727 ops/s
# Warmup Iteration   4: 2384.493 ops/s
# Warmup Iteration   5: 2376.491 ops/s
# Warmup Iteration   6: 2376.133 ops/s
# Warmup Iteration   7: 2376.189 ops/s
# Warmup Iteration   8: 2375.237 ops/s
Iteration   1: 2370.626 ops/s
Iteration   2: 2375.818 ops/s
Iteration   3: 2374.099 ops/s
Iteration   4: 2375.862 ops/s
Iteration   5: 2373.430 ops/s
Iteration   6: 2372.839 ops/s
Iteration   7: 2372.331 ops/s
Iteration   8: 2366.669 ops/s
Iteration   9: 2375.048 ops/s
Iteration  10: 2372.357 ops/s

# Run progress: 50.00% complete, ETA 00:12:34
# Fork: 2 of 2
# Warmup Iteration   1: 1726.628 ops/s
# Warmup Iteration   2: 1774.533 ops/s
# Warmup Iteration   3: 1776.714 ops/s
# Warmup Iteration   4: 1781.350 ops/s
# Warmup Iteration   5: 1782.088 ops/s
# Warmup Iteration   6: 1779.874 ops/s
# Warmup Iteration   7: 1782.359 ops/s
# Warmup Iteration   8: 1780.186 ops/s
Iteration   1: 1778.448 ops/s
Iteration   2: 1782.191 ops/s
Iteration   3: 1781.907 ops/s
Iteration   4: 1781.043 ops/s
Iteration   5: 1783.131 ops/s
Iteration   6: 1781.223 ops/s
Iteration   7: 1783.419 ops/s
Iteration   8: 1781.324 ops/s
Iteration   9: 1782.127 ops/s
Iteration  10: 1781.744 ops/s


Result "com.meylism.databind.Serialization.gson":
  2077.282 ±(99.9%) 263.384 ops/s [Average]
  (min, avg, max) = (1778.448, 2077.282, 2375.862), stdev = 303.313
  CI (99.9%): [1813.898, 2340.666] (assumes normal distribution)


# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Serialization.jackson

# Run progress: 60.00% complete, ETA 00:10:03
# Fork: 1 of 2
# Warmup Iteration   1: 9569.646 ops/s
# Warmup Iteration   2: 9330.738 ops/s
# Warmup Iteration   3: 9312.849 ops/s
# Warmup Iteration   4: 9286.878 ops/s
# Warmup Iteration   5: 9301.485 ops/s
# Warmup Iteration   6: 9313.205 ops/s
# Warmup Iteration   7: 9313.509 ops/s
# Warmup Iteration   8: 9318.822 ops/s
Iteration   1: 9307.141 ops/s
Iteration   2: 9324.263 ops/s
Iteration   3: 9927.506 ops/s
Iteration   4: 10039.683 ops/s
Iteration   5: 10042.594 ops/s
Iteration   6: 10031.659 ops/s
Iteration   7: 9916.646 ops/s
Iteration   8: 10022.325 ops/s
Iteration   9: 10039.920 ops/s
Iteration  10: 10020.327 ops/s

# Run progress: 70.00% complete, ETA 00:07:32
# Fork: 2 of 2
# Warmup Iteration   1: 10084.575 ops/s
# Warmup Iteration   2: 9957.530 ops/s
# Warmup Iteration   3: 9952.296 ops/s
# Warmup Iteration   4: 9953.121 ops/s
# Warmup Iteration   5: 9959.066 ops/s
# Warmup Iteration   6: 9957.468 ops/s
# Warmup Iteration   7: 9954.146 ops/s
# Warmup Iteration   8: 10008.335 ops/s
Iteration   1: 10517.880 ops/s
Iteration   2: 10513.593 ops/s
Iteration   3: 10527.552 ops/s
Iteration   4: 10525.646 ops/s
Iteration   5: 10512.157 ops/s
Iteration   6: 10572.826 ops/s
Iteration   7: 10530.562 ops/s
Iteration   8: 10528.551 ops/s
Iteration   9: 10517.269 ops/s
Iteration  10: 10517.540 ops/s


Result "com.meylism.databind.Serialization.jackson":
  10196.782 ±(99.9%) 342.430 ops/s [Average]
