# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Deserialization.dsljson

# Run progress: 0.00% complete, ETA 00:25:00
# Fork: 1 of 2
# Warmup Iteration   1: 823356.682 ops/s
# Warmup Iteration   2: 836811.992 ops/s
# Warmup Iteration   3: 838107.477 ops/s
# Warmup Iteration   4: 837922.431 ops/s
# Warmup Iteration   5: 837489.089 ops/s
# Warmup Iteration   6: 838081.381 ops/s
# Warmup Iteration   7: 838611.258 ops/s
# Warmup Iteration   8: 837773.295 ops/s
Iteration   1: 836457.387 ops/s
Iteration   2: 837724.021 ops/s
Iteration   3: 836912.523 ops/s
Iteration   4: 837587.839 ops/s
Iteration   5: 836877.289 ops/s
Iteration   6: 837245.362 ops/s
Iteration   7: 836751.066 ops/s
Iteration   8: 835859.979 ops/s
Iteration   9: 838214.369 ops/s
Iteration  10: 837488.550 ops/s

# Run progress: 10.00% complete, ETA 00:22:38
# Fork: 2 of 2
# Warmup Iteration   1: 684931.630 ops/s
# Warmup Iteration   2: 682571.219 ops/s
# Warmup Iteration   3: 684283.627 ops/s
# Warmup Iteration   4: 685800.053 ops/s
# Warmup Iteration   5: 681081.613 ops/s
# Warmup Iteration   6: 684152.317 ops/s
# Warmup Iteration   7: 682376.880 ops/s
# Warmup Iteration   8: 681112.114 ops/s
Iteration   1: 684737.930 ops/s
Iteration   2: 686366.275 ops/s
Iteration   3: 676662.515 ops/s
Iteration   4: 679567.226 ops/s
Iteration   5: 677907.243 ops/s
Iteration   6: 682423.056 ops/s
Iteration   7: 688702.067 ops/s
Iteration   8: 680130.173 ops/s
Iteration   9: 677544.388 ops/s
Iteration  10: 688944.547 ops/s


Result "com.meylism.databind.Deserialization.dsljson":
  759705.190 ±(99.9%) 69019.559 ops/s [Average]
  (min, avg, max) = (676662.515, 759705.190, 838214.369), stdev = 79483.027
  CI (99.9%): [690685.631, 828724.750] (assumes normal distribution)


# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
