# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 8 iterations, 15 s each
# Measurement: 10 iterations, 3 s each
# Timeout: 10 min per iteration
# Threads: 4 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.meylism.databind.Deserialization.dsljson

# Run progress: 0.00% complete, ETA 00:25:00
# Fork: 1 of 2
# Warmup Iteration   1: 147.931 ops/s
# Warmup Iteration   2: 152.274 ops/s
# Warmup Iteration   3: 150.920 ops/s
# Warmup Iteration   4: 151.236 ops/s
# Warmup Iteration   5: 151.302 ops/s
# Warmup Iteration   6: 151.563 ops/s
# Warmup Iteration   7: 151.648 ops/s
# Warmup Iteration   8: 151.752 ops/s
Iteration   1: 151.378 ops/s
Iteration   2: 153.087 ops/s
Iteration   3: 151.355 ops/s
Iteration   4: 150.857 ops/s
Iteration   5: 152.613 ops/s
Iteration   6: 151.317 ops/s
Iteration   7: 151.390 ops/s
Iteration   8: 151.535 ops/s
Iteration   9: 151.472 ops/s
Iteration  10: 150.870 ops/s

# Run progress: 10.00% complete, ETA 00:22:49
# Fork: 2 of 2
# Warmup Iteration   1: 120.050 ops/s
# Warmup Iteration   2: 122.405 ops/s
# Warmup Iteration   3: 121.998 ops/s
# Warmup Iteration   4: 122.670 ops/s
# Warmup Iteration   5: 122.692 ops/s
# Warmup Iteration   6: 122.742 ops/s
# Warmup Iteration   7: 122.101 ops/s
# Warmup Iteration   8: 122.634 ops/s
Iteration   1: 122.383 ops/s
Iteration   2: 121.976 ops/s
Iteration   3: 122.265 ops/s
Iteration   4: 122.468 ops/s
Iteration   5: 122.234 ops/s
Iteration   6: 122.189 ops/s
Iteration   7: 122.750 ops/s
Iteration   8: 122.940 ops/s
Iteration   9: 122.844 ops/s
Iteration  10: 122.860 ops/s


Result "com.meylism.databind.Deserialization.dsljson":
  137.039 ±(99.9%) 12.970 ops/s [Average]
  (min, avg, max) = (121.976, 137.039, 153.087), stdev = 14.936
  CI (99.9%): [124.069, 150.009] (assumes normal distribution)


# JMH version: 1.34
# VM version: JDK 1.8.0_292, OpenJDK 64-Bit Server VM, 25.292-b10
# VM invoker: /usr/lib/jvm/adoptopenjdk-8-hotspot-amd64/jre/bin/java
# VM options: -Xms2g -Xmx5g
# Blackhole mode: full + dont-inline hint (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
